"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa04940","Type I diabetes mellitus",14,0.884446369413323,2.15263534000657,2.22684941597986e-07,7.17045511945516e-05,6.82119136894884e-05,568,"tags=71%, list=8%, signal=66%","3127/3134/3115/3113/3133/3105/3108/3106/3122/3107","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05322","Systemic lupus erythematosus",15,0.882411337951416,2.17863356332029,1.10744576435248e-06,9.30905955485692e-05,8.85562710187435e-05,471,"tags=53%, list=7%, signal=50%","3127/732/717/6737/3115/3113/3108/3122","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05320","Autoimmune thyroid disease",11,0.902586168508027,2.0833305387251,1.44550614205853e-06,9.30905955485692e-05,8.85562710187435e-05,568,"tags=91%, list=8%, signal=84%","3127/3134/3115/3113/3133/3105/3108/3106/3122/3107","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05330","Allograft rejection",11,0.902586168508027,2.0833305387251,1.44550614205853e-06,9.30905955485692e-05,8.85562710187435e-05,568,"tags=91%, list=8%, signal=84%","3127/3134/3115/3113/3133/3105/3108/3106/3122/3107","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05332","Graft-versus-host disease",11,0.902586168508027,2.0833305387251,1.44550614205853e-06,9.30905955485692e-05,8.85562710187435e-05,568,"tags=91%, list=8%, signal=84%","3127/3134/3115/3113/3133/3105/3108/3106/3122/3107","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa04672","Intestinal immune network for IgA production",15,0.855534042081769,2.11227473909117,1.10967818001397e-05,0.000521794027720171,0.000496378104173161,471,"tags=67%, list=7%, signal=62%","3127/56477/8741/6370/3115/3601/5284/3113/3108/3122","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05416","Viral myocarditis",32,0.713577866149052,2.09112833151298,1.13433484286994e-05,0.000521794027720171,0.000496378104173161,568,"tags=44%, list=8%, signal=40%","3127/3134/3115/1604/3113/5880/3133/2534/3105/3108/3106/3122/137868/3107","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05150","Staphylococcus aureus infection",13,0.796143392569402,1.89463886260717,0.00021321061574516,0.00858172728374268,0.00816372226076862,471,"tags=54%, list=7%, signal=50%","3127/717/1671/3115/3113/3108/3122","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa00512","Mucin type O-glycan biosynthesis",20,0.726998797728271,1.90416084381088,0.000417459478080726,0.0149357724379993,0.01420826995573,1146,"tags=55%, list=16%, signal=46%","9245/192134/10610/2650/2590/442117/11226/10331/55568/256435/63917","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa04978","Mineral absorption",33,-0.575363557754346,-2.0234936734417,0.000569295114909116,0.0183313027000735,0.0174384082566898,1483,"tags=58%, list=21%, signal=46%","261729/2512/4891/30061/476/54822/3162/490/493/6523/4494/4493/79901/4502/4499/4495/4496/340024/4501","Down","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa04612","Antigen processing and presentation",36,0.624850755739731,1.87309352640709,0.000777935898403421,0.0227723053896274,0.0216630953526694,830,"tags=44%, list=12%, signal=39%","3127/3134/3115/6891/3113/3133/3105/3108/1520/3106/3122/972/3107/6892/567/3303","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa04145","Phagosome",65,0.514946195334647,1.74114027923201,0.000898021051698697,0.0240968982205817,0.0229231689512562,930,"tags=32%, list=13%, signal=28%","3127/3134/3115/6891/3113/3133/53407/3105/3108/1520/3106/3122/7280/3107/23545/529/3693/51382/5869/9114/7037","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
"hsa05168","Herpes simplex virus 1 infection",108,0.466177293141602,1.69118070174012,0.00156515378246943,0.0387676552273198,0.0368793320403729,1113,"tags=32%, list=16%, signal=28%","684/3127/3134/3115/1978/29990/6891/3113/3661/3133/3105/3108/3106/3122/972/5970/3107/1965/5290/6892/4938/3460/567/5499/8503/5371/578/5781/3454/330/7249/6714/57506/317/7297","Up","Early_Goblet","EPI","Ileum","InactiveCD_vs_Control","dataset_03"
