"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"Enterocytes CA1 CA2 CA4-",1883,1476,3359,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,3.63746935065669e-05,"**1.575**",1.62674383834759e-05,"**2.267**",0.00818958722739184,"**1.029**",0.000132057477992292,"**2.048**"
"Epithelial Cycling cells",1511,1127,2638,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,5.55800069415978e-08,"**1.748**",0.000184936807076091,"**2.282**",0.052410654686148,"0.794",1.44631709587531e-05,"**2.574**"
"Goblet cells MUC2 TFF1-",1438,1064,2502,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,0.0190937543625712,"**0.894**",0.00116214429394748,"**2.04**",0.000996872984873762,"**1.185**",0.034350336451311,"**1.356**"
"Enterocytes TMIGD1 MEP1A",1035,680,1715,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,0.00160521594607942,"**1.38**",0.00584212873414691,"**2.103**",0.00638272537792758,"**1.308**",0.410055712685852,"0.769"
"Stem cells OLFM4 PCNA",763,632,1395,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,0.000932567390446174,"**1.474**",3.25842259188757e-05,"**2.28**",0.285058833308931,"0.825",0.0112087175679756,"**2.286**"
"Stem cells OLFM4 LGR5",657,513,1170,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,0.000357327229109124,"**1.445**",6.65992052043437e-05,"**2.315**",0.0664732900534061,"0.968",0.0179394452996521,"**2.031**"
"Enterocytes BEST4",431,127,558,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,0.00599649053624065,"**1.683**",0.00760875989497348,"**2.344**",NA,"0.973",NA,"1.629"
"Goblet cells MUC2 TFF1",247,53,300,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,0.0304953841668066,"**1.4**",0.000777000684010178,"**2.986**",NA,NA,NA,NA
"Enteroendocrine cells",251,18,269,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,NA,NA,0.0142290815410679,"**3.091**",NA,NA,NA,"1.903"
"Stem cells OLFM4",135,97,232,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5,0.0716200541378205,"1.822",0.000936545558170893,"**2.698**",NA,NA,NA,NA
"Goblet cells SPINK4",NA,NA,NA,"02_CO_EPI_ActiveCD_vs_Control","Control",15,"ActiveCD",4,NA,NA,NA,NA,NA,NA,NA,NA
"Paneth cells",NA,NA,NA,"02_CO_EPI_ActiveCD_vs_Control","Control",3,"ActiveCD",5,NA,NA,NA,NA,NA,NA,NA,NA
"Tuft cells",NA,NA,NA,"02_CO_EPI_ActiveCD_vs_Control","Control",15,"ActiveCD",5,NA,NA,NA,NA,NA,NA,NA,NA
