"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa04141","Protein processing in endoplasmic reticulum",137,0.482816215788564,2.73257972446631,1e-10,3.18e-08,2.88421052631579e-08,1519,"tags=51%, list=20%, signal=41%","7494/6747/10277/10802/8720/6400/58505/10970/81567/91319/10952/2081/23471/4121/51726/7095/7184/29927/9871/3998/6745/79139/64215/5611/9709/6184/56886/5589/9978/51128/55741/7415/51009/56681/84447/7323/23190/6185/7841/27248/51465/9451/746/6396/1603/55968/10905/3309/811/5034/6748/6746/468/10961/10483/7327/30001/118424/7322/1650/5599/55757/9695/10113/22926/7326/6500/22872/64374/2923","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa05203","Viral carcinogenesis",116,0.353795210900332,1.85090378828664,2.62431385814089e-06,0.000417265903444401,0.000378453682700317,1263,"tags=33%, list=17%, signal=28%","64764/7531/9261/6850/3106/387/2885/3107/3190/5610/998/4792/2033/3105/4193/10488/3516/8850/6672/7532/894/5566/3572/9734/55697/27044/4790/2934/10014/51564/4791/8717/468/1027/2961/6774/3665/7187","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa03060","Protein export",26,0.628541185077577,2.46082593998439,7.59625170243377e-06,0.00080520268045798,0.000730306304023457,1114,"tags=54%, list=15%, signal=46%","58477/10952/28972/6728/7095/29927/9789/60559/90701/6734/29100/6730/3309/6727","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa05012","Parkinson disease",180,0.281976081596097,1.60528990566618,3.1032476281458e-05,0.00246708186437591,0.00223760486871565,1464,"tags=33%, list=20%, signal=27%","7494/27089/4697/4710/598/2081/9377/3709/5686/2778/7417/1347/5707/4728/1337/3799/7922/1616/7295/5566/55334/54539/1345/201266/51465/4708/9451/4694/2771/5692/3309/7316/9246/5719/5709/4700/468/3831/5689/5690/801/4696/7327/4717/5694/118424/4725/5599/6389/90550/4702/4713/203068/4718/5701/1329/22926/7326/55967","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa05168","Herpes simplex virus 1 infection",116,0.318296756397018,1.66519120119056,6.3760715896154e-05,0.00405518153099539,0.00367798655906236,1046,"tags=34%, list=14%, signal=29%","9021/6772/6891/3454/598/6850/684/3106/3107/6892/5610/4792/567/330/3105/7297/6009/23118/5451/6672/1616/6430/6426/57506/5452/6773/9451/4790/4938/6429/972/10454/3455/811/3115/3112/6432/6890/8717","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa05169","Epstein-Barr virus infection",136,0.300315093281465,1.68947974870297,8.93514738038238e-05,0.00473562811160266,0.00429514102144697,1698,"tags=45%, list=23%, signal=35%","6772/6891/3454/6850/3106/5336/3107/10018/6892/5610/695/1647/4792/567/3105/7297/4193/9612/23118/29760/5707/5603/3516/894/57506/6773/4790/4938/10454/5606/3455/811/3115/3112/6890/4791/8717/5719/5709/1027/5971/6774/3665/6416/7187/5599/960/5701/3654/3133/3113/953/2923/1432/1643/836/10213/5717/4067/578/3718","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa04120","Ubiquitin mediated proteolysis",101,0.311676219582048,1.6416595566856,0.000301336040344914,0.0136892658328118,0.012415951136016,1502,"tags=38%, list=20%, signal=30%","9021/10277/9320/51433/8924/51529/10054/330/55585/55294/4193/7328/7325/9978/84447/7323/3093/10075/51465/8925/63893/867/7316/7320/9246/7327/118424/7322/83737/51366/65264/119504/331/8452/11060/7326/6500/57154","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa00510","N-Glycan biosynthesis",37,0.48753238960827,2.04475770203715,0.000354709849725318,0.0140997165265814,0.0127882235295707,1482,"tags=57%, list=20%, signal=46%","6480/4245/58505/29880/4121/2530/6184/6185/7841/207063/746/8703/1603/11282/10905/199857/1798/1650/2683/4124/4248","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa03250","Viral life cycle - HIV-1",46,0.422190018661054,1.88174292795414,0.000737536500710504,0.0260596230251045,0.0236356726543483,897,"tags=30%, list=12%, signal=27%","22936/7852/684/8178/27350/636/2033/5901/8850/29969/10955/85363/4599/60489","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa00190","Oxidative phosphorylation",93,0.300983752359945,1.55951195182126,0.000953926290524329,0.0303348560386736,0.0275132424845964,1571,"tags=33%, list=21%, signal=27%","27089/4697/4710/9377/533/9296/1347/523/4728/1337/54539/1345/4708/4694/537/4700/4696/4717/4725/535/6389/4702/4713/4718/1329/55967/4513/10063/1340/4706/9550","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
"hsa05020","Prion disease",177,0.250682700746046,1.43880970310194,0.00162726653992968,0.047042796336149,0.0426670843962424,1668,"tags=35%, list=22%, signal=28%","64764/732/27089/653361/4697/4710/5880/9377/3709/5686/5580/7417/1347/10488/5707/5603/10963/4728/1337/3799/5566/1457/5533/54539/1345/4708/9451/4694/2932/5692/3309/5719/5709/4700/468/3831/5689/5690/5532/4696/4717/5694/4725/5599/6389/90550/4702/4713/203068/4718/5701/1329/55967/4513/1340/1432/4706/836/857/10213/5717/5530","Up","Plasma","IMM","Ileum","ActiveCD_vs_Control","dataset_03"
