"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","cell_type","cell_group","tissue","comparison","dataset"
"hsa01200","Carbon metabolism",71,-0.557570188036668,-2.07353984104909,3.50774206316355e-06,0.00104530713482274,0.000904628216289548,1458,"tags=54%, list=22%, signal=42%","4191/1743/3420/6389/2597/6390/226/29968/1737/4200/132158/4967/2539/26007/6888/5230/2098/8803/2023/7086/26227/6120/847/5315/2805/128/6470/2806/3419/5213/84532/5160/2271/84706/5096/229/4329/2203","Down","Cycling_B_cell","IMM","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa05162","Measles",82,0.456552919935592,1.83982090021179,8.44086669561353e-05,0.0125768913764642,0.0108842754759227,1202,"tags=39%, list=18%, signal=32%","2353/3718/6772/7128/5295/915/51135/3561/317/27113/7187/4179/4599/103/1021/2932/4615/3454/1027/898/3725/637/1459/4793/2213/3654/5599/4790/4600/9134/4478/5610","Up","Cycling_B_cell","IMM","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa00561","Glycerolipid metabolism",19,-0.690736998038892,-1.93257954127199,0.000277525593490852,0.023020290359396,0.0199221869941788,1209,"tags=53%, list=18%, signal=43%","2717/231/8525/132158/26007/55326/57104/1606/217/501","Down","Cycling_B_cell","IMM","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa00010","Glycolysis / Gluconeogenesis",32,-0.614039833405237,-1.93867710156212,0.000320429266122423,0.023020290359396,0.0199221869941788,1297,"tags=50%, list=20%, signal=40%","2597/226/1737/130589/5236/5230/2023/5315/128/5213/84532/5160/217/501/229/2203","Down","Cycling_B_cell","IMM","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa03320","PPAR signaling pathway",21,-0.666603094802041,-1.91144982092909,0.000414311874437007,0.023020290359396,0.0199221869941788,562,"tags=33%, list=8%, signal=31%","7316/2169/6257/2168/2172/335/345","Down","Cycling_B_cell","IMM","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa05323","Rheumatoid arthritis",38,0.528997793556276,1.87041102131949,0.000498376920941608,0.023020290359396,0.0199221869941788,2101,"tags=58%, list=32%, signal=40%","3120/2353/535/3725/3115/3127/523/942/3109/9550/3112/537/4050/528/9114/3683/3383/3118/3113/3117/3119/8992","Up","Cycling_B_cell","IMM","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa05224","Breast cancer",51,0.496492579916913,1.84139060468487,0.000540745075556282,0.023020290359396,0.0199221869941788,1446,"tags=45%, list=22%, signal=36%","2260/6932/2353/324/6667/5295/6654/4791/8648/1021/2932/8202/1871/3845/3725/675/1870/6198/3265/369/7976/6199/5728","Up","Cycling_B_cell","IMM","Ileum","ActiveCD_vs_Control","dataset_01"
"hsa01230","Biosynthesis of amino acids",40,-0.537993920745065,-1.77713059449581,0.000911879984063894,0.03396752940638,0.0293961310652176,1746,"tags=65%, list=26%, signal=48%","5631/5214/6472/27430/4144/3420/2597/226/29968/29920/440/6888/5230/2023/7086/26227/6120/5315/2805/6470/2806/3419/5213/84706/229/587","Down","Cycling_B_cell","IMM","Ileum","ActiveCD_vs_Control","dataset_01"
