"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"Goblet cells MUC2 TFF1-",3792,2376,6168,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17,4.5580011032226e-06,"**0.944**",2.44448525508549e-05,"**1.617**",2.87133111568872e-05,"**0.83**",0.0200887364835658,"**0.909**"
"Enterocytes CA1 CA2 CA4-",3390,2377,5767,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17,6.12604591086151e-09,"**1.119**",0.000279874093615977,"**1.35**",0.000680041227540232,"**0.857**",0.00013220512207298,"**1.481**"
"Epithelial Cycling cells",3085,1927,5012,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17,2.03221935157504e-12,"**1.291**",0.000543537781950285,"**1.401**",0.0242824592909786,"**0.633**",0.00417535268052728,"**1.286**"
"Stem cells OLFM4 LGR5",2593,1556,4149,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17,8.09916260716603e-07,"**1.086**",0.000586754941478808,"**1.623**",0.0733505384338726,"0.571",0.000871913128228441,"**1.627**"
"Stem cells OLFM4 PCNA",2266,809,3075,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17,5.92450353006502e-07,"**1.25**",0.000389783129677309,"**1.629**",0.0281042477925519,"**0.959**",0.216686719385614,"0.871"
"Enterocytes TMIGD1 MEP1A",1720,1095,2815,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17,1.95519192073423e-09,"**1.177**",0.000911697152760535,"**1.676**",0.0607092821875454,"0.626",0.498355957492169,"0.387"
"Enterocytes BEST4",2365,248,2613,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",16,1.00152644161578e-06,"**1.516**",0.00106263787189409,"**2.038**",0.0417554816641976,"**0.969**",0.000623204613225123,"**1.73**"
"Goblet cells MUC2 TFF1",1670,128,1798,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17,5.2598325323264e-05,"**1.803**",1.88308552076775e-05,"**3.048**",0.0753722671323116,"1.07",0.0306740206473701,"**1.707**"
"Enteroendocrine cells",1620,74,1694,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",16,0.0003323417131337,"**2.113**",0.023696649436455,"**1.904**",0.15371515913105,"1.169",NA,NA
"Stem cells OLFM4",599,287,886,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17,0.0396900869804936,"**1.105**",0.0016264920363901,"**1.755**",NA,NA,NA,NA
"Goblet cells SPINK4",NA,NA,NA,"02_CO_EPI_InactiveCD_vs_Control","Control",15,"InactiveCD",13,NA,NA,NA,NA,NA,NA,NA,NA
"Paneth cells",NA,NA,NA,"02_CO_EPI_InactiveCD_vs_Control","Control",3,"InactiveCD",13,NA,NA,NA,NA,NA,NA,NA,NA
"Tuft cells",NA,NA,NA,"02_CO_EPI_InactiveCD_vs_Control","Control",15,"InactiveCD",16,NA,NA,NA,NA,NA,NA,NA,NA
