"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
1.73102133591936,-0.296326954939275,0.548391559443346,-0.540356520512581,0.588951186721363,NA,"AP006222.2"
6.28021897839391,-0.781859986823202,0.311342230256926,-2.51125581704093,0.0120302482127027,NA,"NOC2L"
2.87603730684783,-1.03985608602762,0.628525827524773,-1.65443652510308,0.0980388503399594,NA,"RP11-54O7.17"
41.8222099623785,-0.487634591789124,0.342757818252767,-1.42267970508996,0.154829026505893,0.625947273015804,"HES4"
61.4594937164246,-0.419598884883505,0.204388565789985,-2.05294696042172,0.0400777218466988,0.388437013706634,"ISG15"
0.563494758579034,-0.418212717674238,0.751746157143484,-0.556321723363881,0.577990939301322,NA,"TTLL10"
94.1942849981224,0.783236330013369,0.299075225836901,2.61886061549111,0.00882239876076854,0.209606399097765,"TNFRSF18"
4.65431748781542,0.331691775610125,0.686449666809421,0.483198975318627,0.628954462841275,NA,"TNFRSF4"
14.5423656047604,-0.00686120980104719,0.22737545235273,-0.0301756840065713,0.975926941050114,0.996141914070655,"SDF4"
5.16660408806153,-0.208296251765243,0.334515528742241,-0.622680365687131,0.533494587735239,NA,"B3GALT6"
8.94074032472387,0.292065903876852,0.304083803909485,0.960478329072041,0.336814532598932,0.76228124441993,"UBE2J2"
1.72262940858093,-0.306676841209143,0.54750189966027,-0.560138405728709,0.575385035975013,NA,"ACAP3"
2.40186257996358,-0.440520197397735,0.449844393601615,-0.979272396552002,0.327445405576153,NA,"PUSL1"
7.01698920784961,-0.267321370226341,0.311849390549919,-0.857213059659804,0.391327146239835,0.800034594099135,"CPSF3L"
2.72680546624635,-0.411860491983657,0.441191895265349,-0.933517810285135,0.350552679080544,NA,"GLTPD1"
25.8679065168479,-0.00291947319979523,0.16909078340142,-0.0172657145532553,0.986224637347311,0.998964431463292,"AURKAIP1"
8.67732247873715,-0.923788856707981,0.25712869708301,-3.5927100599345,0.000327256653754138,0.0394397051104987,"CCNL2"
2.84727962445543,0.548628227588688,0.49226366089806,1.11450076690162,0.265064415636602,NA,"RP4-758J18.2"
33.7803122083788,0.0760577932359557,0.188748587198489,0.40295821211087,0.68697896616342,0.923967355664297,"MRPL20"
1.80906488444785,-0.725004787269306,0.526327654287622,-1.37747804312238,0.168364498684815,NA,"ATAD3A"
23.7037417448529,0.194510597899186,0.189289525538028,1.02758246842406,0.30414627444193,0.740851255146887,"SSU72"
10.0808344540059,-0.204003138752405,0.290853848724809,-0.701393980677293,0.483057177427103,0.83783733280764,"MIB2"
4.8172221492781,0.132251200179186,0.471015839101612,0.280778668571814,0.778880165741929,NA,"MMP23B"
4.88206265773549,0.0329460481774791,0.393612986901624,0.0837016289447617,0.933293661981722,NA,"CDK11B"
5.62737731248168,0.0372247528898614,0.447249988450247,0.0832303048656251,0.933668416531545,NA,"SLC35E2B"
10.5434512669683,-0.168181040594804,0.335565142814762,-0.501187457028703,0.616239200921204,0.896859386713797,"CDK11A"
3.47785201237758,-0.652987295121013,0.445457218478413,-1.46588104992771,0.142680695389636,NA,"NADK"
16.6838159285118,-0.241602010461936,0.243772319338938,-0.991096983927923,0.321638225601575,0.754860184360676,"GNB1"
1.9247725214774,-0.308381767868922,0.528956689437649,-0.583000033890814,0.559893277408987,NA,"PRKCZ"
16.0728349374152,0.134446056276712,0.259292776460724,0.518510612257944,0.60410205775443,0.891406554700204,"C1orf86"
3.36127615455853,0.306280397374562,0.47507277600043,0.644702060078233,0.519120281054295,NA,"SKI"
20.7675286501796,0.11558454050397,0.194901083461349,0.593042062420815,0.553153002845137,0.876124193536677,"RER1"
1.34854635812814,-0.55524859124956,0.633474809645542,-0.876512503409957,0.380751482127578,NA,"PLCH2"
1.57825646388817,-0.430206616415306,0.562260410049589,-0.765137663484724,0.444189574431825,NA,"PANK4"
5.36414449739951,-0.806613903549296,0.307333997582782,-2.62455149737227,0.00867631710480384,NA,"RP3-395M20.12"
9.46235950976341,-0.0868317393211275,0.280121438640935,-0.309978913939644,0.756576991360099,0.949580386475518,"TNFRSF14"
1.98501206038529,-0.319227969442439,0.533844764157036,-0.597979021010938,0.54985393135955,NA,"TPRG1L"
3.47572887503935,0.635860605829284,0.457891229237806,1.38867173081197,0.164932594160005,NA,"WRAP73"
1.36972084221057,0.28800936111437,0.624838296087897,0.460934233573058,0.644845789948601,NA,"SMIM1"
3.51651506854444,0.173381586173753,0.425999358833358,0.406999641146353,0.684008251759295,NA,"LRRC47"
4.00631179338505,-0.46658016988667,0.426985571081214,-1.09273053116337,0.274512130555427,NA,"CEP104"
1.47184959581246,-0.661723879791099,0.644498640605645,-1.02672657178806,0.304549233539311,NA,"DFFB"
5.67805571244476,0.268832586100812,0.389689400174796,0.689863737582358,0.490279881812372,NA,"C1orf174"
3.88157452584064,-0.635339492529531,0.487802776685457,-1.30245157037966,0.192762063207823,NA,"KCNAB2"
332.232181953787,0.209937832526424,0.117220773356843,1.79096099193385,0.0732995549464906,0.49341826536953,"RPL22"
2.66465818569031,-0.0263527219434318,0.471964262329672,-0.0558362656811166,0.955472244160618,NA,"ICMT"
6.32586255748212,0.0762906713276259,0.401162943152616,0.19017377509518,0.849172960539219,NA,"ACOT7"
2.41592019407249,0.138730998839563,0.504748806325496,0.27485156398785,0.783430280731775,NA,"NOL9"
1.59606912139447,-0.483290839997961,0.557211843907632,-0.867337701597878,0.385757005149169,NA,"ZBTB48"
2.3806010285386,0.507295455134118,0.520461435454675,0.974703254797244,0.329707477987921,NA,"THAP3"
