"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
2.62190480165179,-0.463266276152856,0.516641960936642,-0.896687282838934,0.369885808463232,NA,"AREL1"
4.82698115195169,0.876853250081442,0.388356690622566,2.25785539751041,0.0239546761348892,0.13838643937236,"GAK"
0.424841968014991,-0.665524161716385,0.766263075768183,-0.868532208796819,0.385103047833379,NA,"ZNF714"
4.33095327114868,-0.13055555443003,0.422968132013938,-0.30866522687749,0.757576197920788,NA,"FO538757.1"
0.892037030571092,0.77353131384411,0.63360018407509,1.22085083509451,0.222142502336254,NA,"ZMAT3"
1.12465276451507,0.153073747515955,0.589439925539631,0.259693551256842,0.795100167377681,NA,"PCBP3"
2.98915543246585,0.503266029666936,0.471004621264435,1.06849488719642,0.285297335460887,NA,"EMC3"
6.41534777268092,-0.564863798800647,0.324327050920414,-1.74164873758636,0.0815699275955557,0.260607017936469,"WWC3"
4.49865336258668,0.308513765764946,0.368434233135375,0.837364549812577,0.402387685923256,0.596226565286051,"SLC25A12"
0.551968352879778,-1.41453057053568,0.7851077974316,-1.8017023587884,0.0715922467826137,NA,"SOX4"
2.11920234967967,-0.342245486410147,0.725401721336861,-0.471801315524058,0.637068611837252,NA,"PRR5L"
4.42782458584791,0.167797469925886,0.326767963770625,0.513506489405038,0.607597072563054,0.750650913129525,"CREB3"
1.47024190033483,0.469664601430288,0.58020689208636,0.809477804962684,0.418240364435468,NA,"PRDX2"
1.64410075632685,0.285401096004241,0.595948606656886,0.478902195283693,0.63200820915482,NA,"CD2AP"
6.87339801085246,2.73939039364074,0.704635344052687,3.88767100140794,0.000101210682085663,0.0101736977632508,"OLFM4"
2.0249615215008,-0.1206788556186,0.430543731450429,-0.280294071898465,0.77925189851882,NA,"RMDN3"
3.53869635445702,-0.163829253891322,0.407967313731488,-0.40157446044599,0.687997228808627,NA,"YTHDF2"
3.86435584964731,0.31393081112663,0.420280623808494,0.746955232629704,0.455090584160379,NA,"CYFIP2"
2.19747125549308,0.466582174548893,0.521413290843939,0.894841352804225,0.370871901074156,NA,"TSTA3"
1.59066002065666,-1.14986874470705,0.605369867101649,-1.89944826658175,0.0575055624679263,NA,"MAPK10"
1.72185299964484,0.611139311777106,0.664861420724251,0.919198035451321,0.357991998525034,NA,"PNPLA8"
5.35901735342227,-0.488865922587233,0.507770424381148,-0.962769588605016,0.335663165529323,0.544207441919477,"CDH17"
1.26099368845851,0.404060580991394,0.593364280880314,0.68096546086652,0.495893345500743,NA,"ZNF511"
0.993834601019741,0.376485581173377,0.688358850947182,0.546932142523239,0.584425352246066,NA,"METTL3"
3.3491723306702,0.382972044043391,0.478842113071311,0.799787724573752,0.423833796405146,NA,"BCAR3"
7.59821438261033,0.286832179847142,0.404250252453816,0.709541127324124,0.477988738914367,0.651755670586979,"RASA1"
13.7489072074539,0.497480707718823,0.273443281643138,1.8193195485712,0.0688626926738831,0.24305048692341,"HAX1"
0.63553777720728,0.19081274553819,0.751324039726895,0.253968641290315,0.799519784589885,NA,"CREB3L1"
1.56320527158684,0.0922610308653251,0.537071866428922,0.171785261214265,0.863606353115597,NA,"UBE3A"
1.34364767156428,0.0368178351675528,0.573830728426967,0.0641614910872427,0.948841639846547,NA,"KLF15"
6.2101321797756,-0.0735470541903766,0.368704560371873,-0.199474218914454,0.841891808428289,0.904134237000124,"CCPG1"
0.946309747972011,-0.033814976561048,0.618082632674008,-0.0547094753572907,0.956369920427006,NA,"METAP1"
1.6603216751653,-0.408132922895315,0.562512617667832,-0.725553365518142,0.468112618576207,NA,"MAPKAPK5-AS1"
1.20399508817244,1.14755557982233,0.727216352821513,1.57801124159262,0.114563027251043,NA,"TNFSF13"
3.59689478855832,0.38536491544424,0.448217753465209,0.859771645511476,0.389914932191246,NA,"DRG1"
27.6482489905068,0.516809339019388,0.287736585090773,1.7961196656878,0.0724754874408586,0.250179807608348,"TNRC6B"
1.4618558628515,1.18287494494242,0.664692789818079,1.77958142928881,0.0751444876408485,NA,"CCDC125"
2.06392851282146,0.0236530245665639,0.578954759031038,0.0408547027165828,0.967411729268682,NA,"RP11-894J14.5"
51.517225986734,0.363285864441398,0.850466779316772,0.427160558503232,0.669262386844254,0.785576806019211,"KIAA1468"
0.489099987454257,-0.184787066284274,0.927146616835839,-0.199307275601042,0.8420223882402,NA,"ICAM2"
1.92609043707388,0.786691433137952,0.500064844090408,1.57317884357358,0.115677412659151,NA,"ACVR1"
5.73696221815506,0.0754176022817648,0.352848047417406,0.213739605004951,0.830750124629791,0.897615321168968,"NFE2L1"
2.80866876712545,0.572261096485413,0.47492098629987,1.20496064186155,0.228218496230879,NA,"PRIM2"
6.45478857327775,0.497752877010404,0.478402416711522,1.04044808224819,0.298131772838786,0.510357728299638,"ATP2B1"
1.0478806478904,0.0978318615512999,0.670104381867399,0.145994958693852,0.883925368166149,NA,"SRP9"
1.67359960372382,0.117360504737774,0.483904418243718,0.242528276893446,0.808370848960263,NA,"WDR73"
4.63463546901247,0.334636480252988,0.389156819752959,0.859901364353371,0.389843416377735,0.58839429751186,"SDHC"
2.64430953172731,0.512187426056689,0.480748136610005,1.06539659138021,0.286696498629264,NA,"ACAD10"
2.45478277744586,-0.0730989461492775,0.62672181928753,-0.116636989330255,0.907147724517157,NA,"CWH43"
1.54964449255164,-0.655304723071443,1.27087909808742,-0.515631049450437,0.60611212012525,NA,"RCAN2"
0.697194268053736,-0.297783890849563,0.654452856223857,-0.455011981409559,0.649100619141187,NA,"HORMAD2-AS1"
